"('digit', 0.0046964665)","('use', 0.003961239)","('switch', 0.0032773768)","('work', 0.003242995)","('get', 0.003123502)","('go', 0.0025630482)","('light', 0.0023225504)","('smart', 0.0021668007)","('like', 0.002011651)","('would', 0.0019656601)"
"('digit', 0.0056950045)","('get', 0.003471778)","('like', 0.0030285304)","('use', 0.0029876044)","('switch', 0.0026366925)","('work', 0.0025864993)","('hub', 0.0025356065)","('go', 0.0024900537)","('would', 0.0022709284)","('thing', 0.0018773562)"
"('digit', 0.005284167)","('switch', 0.0035759087)","('work', 0.003484377)","('use', 0.0032473172)","('get', 0.003105785)","('like', 0.0027350679)","('go', 0.0026380627)","('smart', 0.0024056118)","('hub', 0.0023043735)","('would', 0.00211464)"
"('digit', 0.005679964)","('switch', 0.0038539146)","('use', 0.0038027898)","('like', 0.0030649924)","('would', 0.0030369575)","('get', 0.003030824)","('go', 0.0026882438)","('light', 0.002380141)","('work', 0.002332241)","('want', 0.0020429844)"
"('digit', 0.0060123005)","('use', 0.0036176324)","('get', 0.003157909)","('switch', 0.0031110682)","('smart', 0.0028474466)","('like', 0.0026696685)","('light', 0.0022525953)","('go', 0.00213831)","('work', 0.0018858468)","('turn', 0.001877639)"
"('digit', 0.0049910746)","('switch', 0.0049346606)","('use', 0.004009791)","('like', 0.003238523)","('get', 0.0027695424)","('light', 0.002611184)","('work', 0.0024623917)","('smart', 0.0022172478)","('want', 0.0020940662)","('would', 0.0018644613)"
"('digit', 0.0053083315)","('use', 0.0041843075)","('switch', 0.0037231513)","('get', 0.0031924462)","('would', 0.002867556)","('light', 0.0027626604)","('like', 0.0023429075)","('device', 0.0022725344)","('smart', 0.0021381613)","('control', 0.002104036)"
"('digit', 0.0043774876)","('use', 0.003682356)","('get', 0.0029191626)","('light', 0.0027962169)","('like', 0.002618742)","('work', 0.0025911033)","('smart', 0.002378219)","('would', 0.00233092)","('switch', 0.002327166)","('control', 0.0021515298)"
"('digit', 0.005254085)","('use', 0.0044697314)","('get', 0.0033504702)","('switch', 0.0032397034)","('smart', 0.0028676551)","('work', 0.0027619118)","('light', 0.0022670564)","('go', 0.0021297478)","('want', 0.0020700798)","('need', 0.0020610164)"
"('digit', 0.00493861)","('switch', 0.0037238742)","('work', 0.0036178334)","('get', 0.003261268)","('use', 0.0030805662)","('like', 0.0027605607)","('smart', 0.0025079828)","('go', 0.002215885)","('need', 0.0022029935)","('would', 0.001981648)"
"('digit', 0.0057586883)","('use', 0.0031906294)","('switch', 0.0031889873)","('get', 0.0030640264)","('work', 0.0027361524)","('would', 0.0026070771)","('control', 0.0025526148)","('smart', 0.002454785)","('light', 0.00224378)","('hub', 0.002136226)"
"('digit', 0.004942429)","('use', 0.004187745)","('switch', 0.0036842779)","('go', 0.0033114979)","('like', 0.0031518224)","('work', 0.002721181)","('would', 0.002581151)","('smart', 0.0025322353)","('control', 0.002486183)","('get', 0.002431775)"
"('digit', 0.006009732)","('use', 0.0037415512)","('get', 0.0033740548)","('work', 0.003235602)","('switch', 0.0028750869)","('light', 0.0027295982)","('would', 0.0025843368)","('go', 0.0023427214)","('smart', 0.0021794497)","('hub', 0.0021780562)"
